name;group;"""Cultural""";"""Charitable""";"""Religious""";"""Environmental""";"""Labour Unions""";"""Politcal Party""";"""Professional""";"""Sport and Rec";
"""World Average""";"""World Average""";9,7;7,8;20,1;4,3;5,4;5;6,5;14,2;
"""Andorra""";"""Europe""";22,9;12,7;11,8;5,5;2,4;2,9;9,6;31,8;
"""Argentina""";"""South America""";6,8;5,4;17;1,7;1,3;2,5;2,5;8,1;
"""Australia""";"""Oceania""";15;14,9;15,5;3,9;7,6;1,8;13;31,1; 
"""Brazil""";"""South America""";9,9;13,8;50,4;3,6;8,8;5,2;8,6;12,8;
"""Bulgaria""";"""Europe""";1,2;0,7;1,9;0,4;3,2;2,1;1,2;1,3;
"""Canada""";"""North America""";23,1;23,1;27,9;6,6;13,5;5,1;18,6;29;
"""Chile""";"""South America""";10,3;7,8;23;1,6;3,6;1,5;3,1;13,2;
"""China""";"""Asia""";5,7;4,9;3,1;5,7;4,4;6,4;2,2;7,2;
"""Taiwan""";"""Asia""";3,8;5,4;7,1;2,1;2,7;1,6;3,1;9;
"""Colombia""";"""South America""";4,2;4;24,5;2,7;1,5;3,3;2,8;8,3;
"""Cyprus""";"""Europe""";7,5;5,9;8,4;1,1;7;8,2;6,4;12,6;
"""Ethiopia""";"""Africa""";17,5;11,9;29,8;7,9;6,1;5,9;8,2;21,4;
"""Finland""";"""Europe""";9,4;8,3;17,5;1,6;11,9;3,3;2,3;21,5;
"""France""";"""Europe""";11,3;8,8;4,3;6,3;5,8;2,6;6,3;22,7;
"""Georgia""";"""Asia""";0,7;0,1;3,1;0,1;0,8;0,3;0,2;0,3;
"""Germany""";"""Europe""";8,1;4,6;12,8;1,5;3,3;2,2;3,7;26,6;
"""Ghana""";"""Africa""";22,6;8,3;72;9,8;7,7;15,3;7,6;18,3;
"""Hong Kong""";"""Asia""";4,8;-;-;2,2;3,8;0,8;2,8;4,4;
"""Hungary""";"""Europe""";1,9;1;7,5;0,2;2,6;0,2;3,4;3,1;
"""India""";"""Asia""";13,3;10,8;21,9;10,5;15,7;17,5;12,4;15,9;
"""Indonesia""";"""Asia""";16,4;17;37,6;19,4;1,8;4,5;14,8;10,2;
"""Iran""";"""Asia""";9,6;11,4;19,9;2,2;4,6;2;3,9;16,2;
"""Italy""";"""Europe""";9,8;9,2;9,1;1,4;3,3;3,4;6,9;17,1;
"""Japan""";"""Asia""";9,7;1,6;4,3;2,3;2,4;2;5,2;17,5;
"""Jordan""";"""Asia""";0,9;3;2,8;0,4;0,5;0,5;2,4;3,6;
"""South Korea""";"""Asia""";7,4;1,4;17,4;1,6;2,2;1;1,6;13,8;
"""Malaysia""";"""Asia""";9,7;4,6;15,6;3,5;4,9;4,7;3;14,3;
"""Mali""";"""Africa""";14,8;15,8;36,6;22,3;11;16,9;13;19,5;
"""Mexico""";"""North America""";13,8;13,9;41;6;7,5;9,6;9,7;19,4;
"""Moldova""";"""Europe""";7,9;2,5;12,9;1,9;6,8;2,7;7;6,4;
"""Morocco""";"""Africa""";3,6;1,9;1,4;0,5;2,8;0,8;2,2;8,8;
"""Netherlands""";"""Europe""";19,9;6,6;13,7;3,9;7,5;4;5,7;36,6;
"""New Zealand""";"""Oceania""";22,5;20,1;16,2;6,2;6,5;1,8;15,5;34;
"""Norway""";"""Europe""";12,6;12,3;8,3;1,3;13,6;4,3;7,5;27,1;
"""Peru""";"""South America""";12,1;9,6;25,2;5,5;4,4;4,7;6,3;15,3;
"""Poland""";"""Europe""";4,6;3,1;12,9;1,6;4,4;1,1;2,6;4,2;
"""Romania""";"""Europe""";1,1;0,8;5,3;0,2;3,8;2,5;1,2;1;
"""Russia""";"""Asia""";4,1;1,1;2,6;0,4;3,3;0,8;1,6;5,8;
"""Rwanda""";"""Africa""";5;14,3;52,8;6,5;12,3;11,1;14,5;11;
"""Serbia""";"""Europe""";2,5;1,1;3,8;1,1;2,1;2,7;1,9;6,8;
"""Vietnam""";"""Asia""";5,6;11,8;6;7,9;8,2;13,9;11,1;8,8;
"""Slovenia""";"""Europe""";9,2;7,7;12,4;2,7;8,9;2,1;6,4;18,2;
"""South Africa""";"""Africa""";10,8;5;51,1;3,9;4,7;7,2;4;14,2;
"""Spain""";"""Europe""";5,7;5,1;9,1;1,1;2,7;1,1;3,3;9,9;
"""Sweden""";"""Europe""";12,8;9,9;6,9;1;10,2;2,8;6,3;29,8;
"""Switzerland""";"""Europe""";21,1;11,2;22,1;5,2;4,7;8,1;15,7;36,1;
"""Thailand""";"""Asia""";10,5;8,6;19,4;10;7,7;6,5;11,2;12,1;
"""Trinidad and Tobago""";"""South America""";17,3;13,7;42,8;5,5;7;3,9;7,9;18,7;
"""Turkey""";"""Asia""";1,5;0,8;1,3;0,8;1,1;2,3;1,5;1,8;
"""Ukraine""";"""Europe""";4;1,9;5,5;1;4,3;2,1;2,1;4,2;
"""Egypt""";"""Africa""";0,8;1,5;0,9;0,5;0,5;2;2,7;1,8;
"""United Kingdom""";"""Europe""";21,5;20,7;19;5,9;9,8;3,2;14,3;29,8;
"""United States""";"""North America""";14,9;14,8;37,6;6;7,6;16,1;11,9;15,2;
"""Burkina Faso""";"""Africa""";4,5;2,3;23,8;4,4;3,2;6,1;5,1;7,8;
"""Uruguay""";"""South America""";8,3;4;14,6;1,7;3,4;2,9;1,7;7,8;
"""Zambia""";"""Africa""";20,6;8,1;62,1;6,4;5,8;16,1;12,1;20,8;
