Country;Good Job Security;A job respected by people in general;Good Hours;An opportunity to use initiative;Generous holidays;A job in which you feel you can achieve something;A responsible job;A job that is interesting
Argentina;60,2;32,8;39,4;52,7;18,6;54;45,6;43,3
Chile;70,3;50,1;51,8;46,1;24,5;62,2;40;52,3
China;68,1;55,6;45,7;40,7;14,5;49,7;25,9;42
India;89;66,4;54;46,5;37,3;60,9;67,8;46,9
Japan;81,2;42,8;76;54,1;76,1;69,6;70,6;63,3
Mexico;67,5;53,4;57;56;45,6;58,5;56;53,5
Moldova;82,7;58,8;49,1;34,1;38;50,5;29,5;66
Peru;49,3;52,4;28,7;37,5;8,5;35,5;38,5;29,1
Spain;63,4;48,2;36,9;36,9;19,2;38;35,4;48,2
Sweden;53,1;18,2;37,6;51,1;11,3;73,6;52,8;71,1
Turkey;95;86;84,1;82,8;34,9;87;77;34,4
United States;74,3;39,6;52;52,4;26,2;72,4;50,6;72,8
